entityid,isperson,companyname,email,phone,address1_addressName,address1_addressee,address1_phone,address1_line1,address1_line2,address1_city,address1_state,address1_zipCode,address1_country,terms,Track 1099,Tax ID
ADP PAYROLL,FALSE,ADP PAYROLL,,,Bill-To,ADP PAYROLL,,,,,,,United States,2,No,
Aetna,FALSE,Aetna,,,Bill-To,Aetna,,,,,,,United States,2,No,
ARK-LA-TEX Garage Doors,FALSE,ARK-LA-TEX Garage Doors,,,Bill-To,ARK-LA-TEX Garage Doors,,,,,,,United States,2,No,
BOSSIER PARISH SALES TAX,FALSE,BOSSIER PARISH SALES TAX,,,Bill-To,BOSSIER PARISH SALES TAX,,,,,,,United States,2,No,
CADDO PARISH SALES TAX,FALSE,CADDO PARISH SALES TAX,,,Bill-To,CADDO PARISH SALES TAX,,,,,,,United States,2,No,
DELUXE CHECKS,FALSE,DELUXE CHECKS,,,Bill-To,DELUXE CHECKS,,,,,,,United States,4,No,
DESOTO PARISH SALES TAX,FALSE,DESOTO PARISH SALES TAX,,,Bill-To,DESOTO PARISH SALES TAX,,,,,,,United States,2,No,
EUROCOMPONENTES Y SERVICIOS,FALSE,EUROCOMPONENTES Y SERVICIOS,,,Bill-To,EUROCOMPONENTES Y SERVICIOS,,,,,,,India,2,No,
FORCAS,FALSE,FORCAS,,,Bill-To,FORCAS,,,,,,,India,2,No,
GARTELS WERKE LMT,FALSE,GARTELS WERKE LMT,,,Bill-To,GARTELS WERKE LMT,,,,,,,United States,2,No,
LINCOLN PARISH SALES TAX,FALSE,LINCOLN PARISH SALES TAX,,,Bill-To,LINCOLN PARISH SALES TAX,,,,,,,United States,2,No,
LOUISIANA SALES TAX,FALSE,LOUISIANA SALES TAX,,,Bill-To,LOUISIANA SALES TAX,,,,,,,India,2,No,
MARSHALL TECHNOCAST,FALSE,MARSHALL TECHNOCAST,,,Bill-To,MARSHALL TECHNOCAST,,INDIA,,,,,United States,2,No,
NATCHITOCHES PARISH SALES TAX,FALSE,NATCHITOCHES PARISH SALES TAX,,,Bill-To,NATCHITOCHES PARISH SALES TAX,,,,,,,United States,2,No,
NECTAR TECHNOCAST,FALSE,NECTAR TECHNOCAST,,,Bill-To,NECTAR TECHNOCAST,,,,,,,India,2,No,
OKLAHOMA SALES AND USE TAX,FALSE,OKLAHOMA SALES AND USE TAX,,,Bill-To,OKLAHOMA SALES AND USE TAX,,,,,,,United States,2,No,
OMEGA-PAYTRACE MERCHANT BANKCARD,FALSE,OMEGA-PAYTRACE MERCHANT BANKCARD,,,Bill-To,OMEGA-PAYTRACE MERCHANT BANKCARD,,,,,,,United States,2,No,
ROCHELLES TECHNOMATICS INDIA,FALSE,ROCHELLES TECHNOMATICS INDIA,,,Bill-To,ROCHELLES TECHNOMATICS INDIA,,"RAJKOT, INDIA
FUNDS TO BE WIRED",,,,,India,2,No,
ScanControls,FALSE,ScanControls,,,Bill-To,ScanControls,,,,,,,United States,2,No,
SPC Victoria AP,FALSE,SPC Victoria AP,,,Bill-To,SPC Victoria AP,,,,,,,India,2,No,
SUMANGAL CASTINGS,FALSE,SUMANGAL CASTINGS,,,Bill-To,SUMANGAL CASTINGS,,,,,,,India,2,No,
SYNERGY GLOBAL,FALSE,SYNERGY GLOBAL,,,Bill-To,SYNERGY GLOBAL,,,,,,,United States,2,No,
TEXAS CONTROLLER OF SALES TAX,FALSE,TEXAS CONTROLLER OF SALES TAX,,,Bill-To,TEXAS CONTROLLER OF SALES TAX,,,,,,,United States,2,No,
